Country,Year,Month,Poverty_Rate,Income_Inequality,Unemployment_Rate,Access_to_Resources,Education_Index,Political_Stability_Index,Corruption_Perception_Index,Voter_Participation_Rate,Ethnic_Diversity_Index,Religious_Diversity_Index,Population_Density,Migration_Rate,Urbanization_Rate,Climate_Trend_Index,Resource_Availability_Index,Environmental_Degradation,Past_Conflict_Count,Peacebuilding_Success_Rate
Algeria,2010,1,31.7,30.9,9.1,46.0,0.613,-0.76,40.4,75.9,0.9,0.571,196.2,-0.5,65.8,-0.1,63.3,47.0,2,71.4
Algeria,2010,2,28.8,31.1,7.7,46.8,0.626,-0.61,41.0,72.7,0.89,0.596,197.0,0.0,66.7,-0.1,61.7,48.3,1,65.9
Algeria,2010,3,27.6,32.3,4.9,46.1,0.63,-0.76,37.4,74.9,0.867,0.581,200.2,-0.6,65.5,0.0,62.9,48.0,1,69.6
Algeria,2010,4,31.2,31.9,6.3,46.9,0.646,-0.71,42.9,71.3,0.878,0.588,198.3,-0.3,65.9,-0.0,60.8,48.4,1,65.2
Algeria,2010,5,31.0,33.2,5.5,47.3,0.605,-0.66,42.9,77.1,0.882,0.602,198.6,-0.3,65.4,-0.1,62.1,47.5,1,67.3
Algeria,2010,6,30.0,30.1,5.2,47.2,0.651,-0.74,40.6,75.1,0.879,0.606,202.2,-0.3,64.3,-0.0,60.6,47.5,1,73.2
Algeria,2010,7,27.3,31.1,3.6,45.9,0.637,-0.64,39.7,69.8,0.884,0.591,199.5,-0.2,65.6,-0.0,62.4,46.0,2,74.4
Algeria,2010,8,28.0,31.4,4.7,46.2,0.57,-0.66,40.2,68.3,0.883,0.577,199.2,-0.2,65.9,-0.1,63.5,46.8,0,66.5
Algeria,2010,9,27.4,32.3,7.7,47.7,0.643,-0.69,38.0,74.5,0.887,0.597,196.3,-0.2,65.1,-0.0,63.5,48.4,1,71.7
Algeria,2010,10,29.1,31.8,7.4,44.7,0.607,-0.74,37.5,70.2,0.879,0.57,196.9,-0.5,65.3,-0.0,62.5,47.0,2,67.2
Algeria,2010,11,27.6,32.2,5.1,47.1,0.629,-0.7,42.2,74.0,0.889,0.594,195.6,0.0,66.9,-0.0,62.7,47.0,2,70.7
Algeria,2010,12,29.1,30.4,4.7,45.8,0.639,-0.72,39.7,77.3,0.886,0.584,195.8,-0.2,65.9,0.0,62.0,47.7,2,74.2
Algeria,2011,1,28.5,31.5,4.2,47.6,0.621,-0.7,42.6,74.6,0.861,0.579,199.0,0.2,66.8,0.0,61.9,46.2,1,69.7
Algeria,2011,2,28.9,33.2,6.4,46.5,0.598,-0.66,40.4,74.5,0.888,0.586,193.1,-0.1,66.3,-0.1,61.7,46.9,2,69.2
Algeria,2011,3,29.4,32.0,6.8,46.9,0.624,-0.44,39.3,76.1,0.878,0.596,196.3,-0.1,66.6,0.0,62.8,49.1,2,69.7
Algeria,2011,4,27.2,30.3,7.5,47.3,0.635,-0.47,43.3,71.4,0.871,0.584,197.1,-0.2,65.7,0.0,60.7,46.7,2,70.7
Algeria,2011,5,27.1,31.9,6.5,45.4,0.62,-0.69,40.3,72.9,0.86,0.599,201.5,-0.2,65.6,-0.0,61.1,46.3,1,68.5
Algeria,2011,6,28.4,31.1,6.3,46.5,0.632,-0.61,43.3,79.0,0.885,0.579,196.8,-0.1,66.1,-0.1,64.0,47.1,1,70.7
Algeria,2011,7,28.8,31.4,3.6,46.1,0.626,-0.57,40.8,81.3,0.853,0.588,197.7,-0.1,65.7,-0.1,62.4,48.2,1,69.1
Algeria,2011,8,30.3,30.9,4.8,46.7,0.599,-0.63,42.6,74.5,0.898,0.586,197.8,-0.1,66.5,0.0,62.4,48.8,2,67.7
Algeria,2011,9,27.6,32.6,5.7,46.0,0.652,-0.71,39.3,74.3,0.866,0.574,200.0,-0.3,66.0,-0.1,63.3,45.6,1,70.0
Algeria,2011,10,30.5,31.2,4.8,46.9,0.621,-0.54,40.3,74.8,0.878,0.576,201.1,0.0,66.4,-0.0,61.0,46.9,1,72.5
Algeria,2011,11,27.0,32.0,6.2,46.8,0.616,-0.55,40.2,74.9,0.874,0.588,199.7,-0.7,65.8,-0.1,62.0,46.4,2,70.7
Algeria,2011,12,31.2,33.4,3.3,45.7,0.638,-0.8,40.2,76.5,0.888,0.578,198.3,-0.4,66.4,0.0,61.9,46.1,1,68.4
Algeria,2012,1,26.7,33.4,5.6,46.5,0.623,-0.62,40.9,75.6,0.888,0.602,201.1,-0.5,66.9,-0.1,61.3,48.1,1,69.2
Algeria,2012,2,29.8,32.2,4.1,47.3,0.673,-0.64,37.9,77.0,0.859,0.596,200.1,-0.2,66.1,0.0,61.3,50.7,2,70.0
Algeria,2012,3,31.2,31.0,3.9,46.6,0.602,-0.69,35.3,73.4,0.883,0.595,204.0,-0.4,65.9,0.1,61.3,46.3,2,66.8
Algeria,2012,4,24.7,33.4,5.4,47.5,0.637,-0.81,43.7,73.3,0.889,0.581,201.9,-0.4,66.1,0.0,61.9,48.7,1,66.1
Algeria,2012,5,26.1,32.0,6.3,47.7,0.636,-0.75,41.0,71.2,0.863,0.582,203.2,-0.6,65.8,-0.0,61.5,48.0,1,70.5
Algeria,2012,6,28.6,31.1,6.4,48.2,0.622,-0.7,44.2,73.7,0.879,0.567,201.8,-0.4,66.5,-0.0,60.2,48.1,1,69.6
Algeria,2012,7,24.3,31.2,6.5,47.1,0.637,-0.8,39.7,75.1,0.869,0.583,203.4,-0.2,66.7,-0.0,62.4,46.8,2,69.5
Algeria,2012,8,29.1,31.6,6.2,46.9,0.622,-0.69,41.8,76.4,0.889,0.601,199.7,0.3,66.3,-0.1,61.7,47.7,2,72.3
Algeria,2012,9,27.6,32.4,4.8,47.6,0.64,-0.52,42.0,70.2,0.885,0.551,198.9,-0.4,65.8,-0.1,63.3,47.3,2,64.3
Algeria,2012,10,29.3,32.9,4.3,47.0,0.635,-0.74,42.9,73.0,0.866,0.601,198.6,-0.5,65.4,-0.0,60.3,46.9,1,68.4
Algeria,2012,11,26.6,31.5,6.1,46.5,0.633,-0.85,39.5,80.0,0.862,0.59,195.5,-0.1,65.2,-0.0,62.4,49.6,2,70.6
Algeria,2012,12,27.8,31.7,6.8,46.3,0.608,-0.56,39.4,78.3,0.887,0.594,206.7,-0.3,66.8,-0.1,62.0,48.6,2,68.4
Algeria,2013,1,26.3,32.1,2.4,46.6,0.632,-0.75,41.4,75.4,0.888,0.594,205.5,-0.2,66.3,-0.0,61.7,49.1,1,71.1
Algeria,2013,2,26.6,32.2,6.3,47.7,0.66,-0.6,41.9,71.8,0.876,0.575,201.8,-0.4,66.6,-0.1,63.3,48.2,1,72.7
Algeria,2013,3,25.0,32.2,3.8,47.2,0.615,-0.85,40.7,68.5,0.874,0.608,203.3,-0.3,66.6,0.0,62.5,50.0,2,66.5
Algeria,2013,4,26.4,31.6,5.2,46.6,0.619,-0.61,43.8,73.4,0.878,0.591,199.7,-0.6,66.4,0.0,62.2,47.7,1,74.5
Algeria,2013,5,30.2,31.7,6.4,48.5,0.61,-0.73,42.2,75.1,0.875,0.58,203.6,-0.2,66.8,0.1,62.6,46.8,1,66.6
Algeria,2013,6,28.2,32.7,5.4,45.5,0.633,-0.62,39.6,77.0,0.869,0.597,202.8,-0.4,65.5,0.0,62.7,47.6,1,66.2
Algeria,2013,7,28.1,31.8,4.9,45.6,0.631,-0.83,40.9,71.2,0.885,0.588,198.2,-0.5,65.5,-0.0,64.3,46.9,1,70.6
Algeria,2013,8,27.9,33.1,6.8,46.3,0.593,-0.48,41.7,76.4,0.86,0.6,202.2,-0.3,66.3,0.0,61.1,46.9,1,70.2
Algeria,2013,9,25.1,31.6,6.2,47.3,0.644,-0.57,43.2,74.8,0.88,0.59,203.9,-0.7,65.6,0.1,61.8,47.8,2,69.0
Algeria,2013,10,30.0,33.5,6.6,48.0,0.626,-0.54,44.5,76.8,0.88,0.581,202.2,-0.1,66.2,0.0,60.7,48.3,2,72.3
Algeria,2013,11,27.9,30.9,5.7,44.9,0.631,-0.67,41.6,73.7,0.89,0.581,199.8,-0.3,66.3,0.0,63.0,48.9,1,72.1
Algeria,2013,12,24.9,31.6,4.5,47.3,0.647,-0.78,42.4,72.5,0.885,0.576,202.9,-0.1,66.4,-0.1,61.3,48.8,1,68.9
Algeria,2014,1,21.3,33.8,5.4,46.9,0.637,-0.72,42.3,72.1,0.884,0.594,202.7,-0.5,66.0,0.0,62.0,49.4,2,66.9
Algeria,2014,2,28.1,31.9,6.8,47.3,0.61,-0.63,40.7,74.9,0.887,0.603,200.2,-0.6,66.7,-0.0,61.6,47.4,1,66.0
Algeria,2014,3,27.4,31.2,4.1,47.7,0.652,-0.53,41.3,72.9,0.881,0.592,208.3,-0.0,67.4,0.0,62.2,48.5,1,69.0
Algeria,2014,4,25.5,31.5,4.8,46.7,0.668,-0.74,38.4,72.3,0.868,0.605,208.7,-0.2,66.4,-0.0,62.1,49.2,2,69.5
Algeria,2014,5,31.6,31.9,7.1,47.6,0.64,-0.61,43.1,76.8,0.888,0.593,203.6,-0.3,66.4,0.0,61.1,49.2,2,71.1
Algeria,2014,6,29.1,33.3,3.5,47.6,0.646,-0.69,40.0,73.7,0.888,0.591,207.7,-0.3,66.8,-0.0,62.2,46.8,2,68.7
Algeria,2014,7,31.9,32.2,3.8,46.2,0.643,-0.65,44.6,72.0,0.881,0.595,205.0,-0.1,66.3,0.0,61.9,46.8,1,72.0
Algeria,2014,8,27.3,31.7,5.9,46.5,0.595,-0.78,39.8,78.3,0.859,0.577,204.4,-0.2,65.9,0.1,61.0,49.0,1,73.7
Algeria,2014,9,30.4,32.3,8.9,46.5,0.61,-0.66,41.5,76.0,0.875,0.605,204.6,-0.2,66.3,-0.1,64.7,47.7,2,74.9
Algeria,2014,10,27.3,31.3,6.2,46.7,0.643,-0.72,39.5,70.8,0.88,0.581,202.9,-0.4,66.6,0.1,62.8,46.4,1,70.9
Algeria,2014,11,28.7,31.3,7.6,47.5,0.629,-0.66,40.4,74.7,0.879,0.584,203.1,-0.1,66.0,0.0,60.9,49.8,1,69.3
Algeria,2014,12,26.4,33.0,4.5,46.7,0.651,-0.47,40.1,71.0,0.871,0.593,201.7,-0.2,66.1,-0.0,60.0,46.6,1,69.2
Algeria,2015,1,30.4,32.7,8.0,47.9,0.653,-0.6,40.0,74.2,0.871,0.585,203.7,-0.1,66.6,0.0,59.0,47.6,2,67.3
Algeria,2015,2,24.0,30.2,5.9,46.1,0.663,-0.78,40.2,71.9,0.892,0.578,203.2,-0.5,66.3,0.0,60.3,47.0,1,67.4
Algeria,2015,3,29.8,31.3,3.8,46.2,0.669,-0.47,41.4,72.8,0.863,0.585,206.8,-0.2,66.6,-0.1,59.1,47.9,1,70.2
Algeria,2015,4,23.6,30.4,6.9,48.5,0.643,-0.76,41.1,75.5,0.876,0.592,205.6,-0.2,65.9,0.0,60.2,47.8,2,71.2
Algeria,2015,5,24.5,31.5,4.2,48.0,0.629,-0.6,43.3,78.8,0.868,0.6,208.4,0.1,67.5,-0.1,60.5,49.1,2,70.9
Algeria,2015,6,29.8,31.1,5.5,46.6,0.62,-0.47,39.2,73.3,0.878,0.58,206.5,-0.6,67.3,-0.0,60.6,47.9,1,73.4
